iter	MultiClass
0	0.9921022356
1	0.9114357275
2	0.8463580083
3	0.7961276746
4	0.7527498703
5	0.7209905537
6	0.6913907018
7	0.6672544148
8	0.6482257518
9	0.6344311846
10	0.6146491793
11	0.5988404704
12	0.5797542485
13	0.5643283138
14	0.5537945076
15	0.5429769955
16	0.5329609415
17	0.5225579
18	0.5132491849
19	0.503343668
20	0.4939745883
21	0.4866368182
22	0.4797873408
23	0.4735070769
24	0.4674673607
25	0.4638920441
26	0.4540305572
27	0.449014489
28	0.4433712849
29	0.4364116076
30	0.4296977219
31	0.4251197523
32	0.4190162912
33	0.4126935342
34	0.405765296
35	0.3992772776
36	0.3937794852
37	0.3893744037
38	0.3834398003
39	0.3795982567
40	0.3758347503
41	0.3706676278
42	0.3651125838
43	0.3609415124
44	0.3570633557
45	0.3522577928
46	0.3476313789
47	0.3437791459
48	0.340725428
49	0.3369876105
50	0.3324599846
51	0.3299661621
52	0.3276849518
53	0.3239200539
54	0.3209809045
55	0.3177520329
56	0.3144962676
57	0.311472262
58	0.3086684864
59	0.306345297
60	0.3043290033
61	0.3014340819
62	0.2989556417
63	0.2969201658
64	0.2954952179
65	0.2932732263
66	0.2910277516
67	0.2893337133
68	0.2868250492
69	0.2842021277
70	0.2825286408
71	0.280665179
72	0.2783031551
73	0.2763700601
74	0.2748617555
75	0.2736125437
76	0.2720277916
77	0.2703054889
78	0.2680875759
79	0.2664252437
80	0.2648508755
81	0.2635632031
82	0.2619633855
83	0.2609848465
84	0.2596510599
85	0.258224778
86	0.2567148786
87	0.2552724468
88	0.2537305814
89	0.2526331443
90	0.251764437
91	0.2507109139
92	0.2494516977
93	0.2483483324
94	0.2471703083
95	0.2458369277
96	0.2447531312
97	0.243613209
98	0.2424560328
99	0.2415609277
100	0.240437246
101	0.2396737528
102	0.2389081733
103	0.2377208002
104	0.237037749
105	0.2361197075
106	0.2350369622
107	0.2341402968
108	0.233142515
109	0.2323925678
110	0.2314188616
111	0.2307326119
112	0.2303177663
113	0.2296766923
114	0.2287468063
115	0.2278008564
116	0.2268979116
117	0.2260826042
118	0.225535816
119	0.224802894
120	0.2239304023
121	0.2233659715
122	0.2225115627
123	0.2218393816
124	0.2214253186
125	0.2207669904
126	0.2202299594
127	0.2195119942
128	0.2190074446
129	0.2183898338
130	0.217796942
131	0.2172056557
132	0.2165104047
133	0.215778574
134	0.2152862175
135	0.2147900731
136	0.2143243352
137	0.2139026039
138	0.2132864248
139	0.2128714046
140	0.2124101518
141	0.2118170895
142	0.2114394348
143	0.2109691855
144	0.21042904
145	0.2099305113
146	0.2091378179
147	0.2087114839
148	0.2082987399
149	0.2080033439
150	0.2076123853
151	0.2071323534
152	0.2067610582
153	0.2063964384
154	0.2061100364
155	0.2057757954
156	0.2054185063
157	0.2049802427
158	0.2043459211
159	0.2039391744
160	0.2035829738
161	0.2031265995
162	0.2027364948
163	0.2024015301
164	0.2022231708
165	0.2019737233
166	0.2017542671
167	0.201510764
168	0.2010246586
169	0.2006902556
170	0.2003053157
171	0.1999895626
172	0.1997191545
173	0.1994245757
174	0.1991117626
175	0.1988513807
176	0.1983605565
177	0.1980696956
178	0.1980145575
179	0.197691415
180	0.1973577501
181	0.1971530248
182	0.196928399
183	0.1967410079
184	0.1963246592
185	0.1962124198
186	0.1960263501
187	0.1957159341
188	0.1954543879
189	0.1951877939
190	0.1948380551
191	0.1945096351
192	0.1943358313
193	0.1938968514
194	0.1936152036
195	0.1933669436
196	0.1932279851
197	0.1929799005
198	0.1927983282
199	0.1925015759
200	0.1923271188
201	0.1921282246
202	0.1919651438
203	0.1917255278
204	0.1913484945
205	0.1908982801
206	0.1906660186
207	0.1904427285
208	0.1902392207
209	0.1900283652
210	0.1898296179
211	0.1896278653
212	0.189455651
213	0.1893257095
214	0.1890637118
215	0.1888710554
216	0.1886483878
217	0.1885120737
218	0.1882204559
219	0.1879752844
220	0.1877463094
221	0.1875502031
222	0.1872646987
223	0.1870018063
224	0.18674832
225	0.1864781199
226	0.186214202
227	0.1860774125
228	0.1859313971
229	0.1857357546
230	0.1856098071
231	0.1853999437
232	0.185256494
233	0.1851227802
234	0.1848190643
235	0.18468414
236	0.1845426308
237	0.1843784705
238	0.1842430094
239	0.1840783431
240	0.1839156292
241	0.1837468076
242	0.1836156844
243	0.1833964621
244	0.1832424915
245	0.1831023599
246	0.1830041372
247	0.182894933
248	0.1827651985
249	0.1826379508
250	0.1824367721
251	0.1822521818
252	0.1821375493
253	0.1820228518
254	0.1817630499
255	0.1816853406
